justice,transcript_id,source,legalbench,count,proportion
"Samuel A. Alito, Jr.",2024.22-7466-t01,Actual,Clarification,2,0.4
"Samuel A. Alito, Jr.",2024.22-7466-t01,Actual,Criticism,3,0.6
"Samuel A. Alito, Jr.",2024.22-7466-t01,GPT-4,Background,5,0.35714285714285715
"Samuel A. Alito, Jr.",2024.22-7466-t01,GPT-4,Clarification,6,0.42857142857142855
"Samuel A. Alito, Jr.",2024.22-7466-t01,GPT-4,Criticism,1,0.07142857142857142
"Samuel A. Alito, Jr.",2024.22-7466-t01,GPT-4,Implications,2,0.14285714285714285
"Samuel A. Alito, Jr.",2024.22-7466-t01,LLaMA-3.1,Background,1,0.08333333333333333
"Samuel A. Alito, Jr.",2024.22-7466-t01,LLaMA-3.1,Criticism,10,0.8333333333333334
"Samuel A. Alito, Jr.",2024.22-7466-t01,LLaMA-3.1,Implications,1,0.08333333333333333
"Samuel A. Alito, Jr.",2024.23-1127-t01,Actual,Clarification,2,1.0
"Samuel A. Alito, Jr.",2024.23-1127-t01,GPT-4,Background,4,0.3333333333333333
"Samuel A. Alito, Jr.",2024.23-1127-t01,GPT-4,Clarification,5,0.4166666666666667
"Samuel A. Alito, Jr.",2024.23-1127-t01,GPT-4,Criticism,2,0.16666666666666666
"Samuel A. Alito, Jr.",2024.23-1127-t01,GPT-4,Implications,1,0.08333333333333333
"Samuel A. Alito, Jr.",2024.23-1127-t01,LLaMA-3.1,Clarification,2,0.16666666666666666
"Samuel A. Alito, Jr.",2024.23-1127-t01,LLaMA-3.1,Criticism,7,0.5833333333333334
"Samuel A. Alito, Jr.",2024.23-1127-t01,LLaMA-3.1,Implications,3,0.25
"Samuel A. Alito, Jr.",2024.23-191 -t01,Actual,Background,1,0.16666666666666666
"Samuel A. Alito, Jr.",2024.23-191 -t01,Actual,Criticism,3,0.5
"Samuel A. Alito, Jr.",2024.23-191 -t01,Actual,Implications,2,0.3333333333333333
"Samuel A. Alito, Jr.",2024.23-191 -t01,GPT-4,Background,2,0.14285714285714285
"Samuel A. Alito, Jr.",2024.23-191 -t01,GPT-4,Clarification,5,0.35714285714285715
