justice,transcript_id,source,metacog,count,proportion
"Samuel A. Alito, Jr.",2024.22-7466-t01,Actual,argumentation_and_clarification,1,0.2
"Samuel A. Alito, Jr.",2024.22-7466-t01,Actual,judicial_role_and_review,1,0.2
"Samuel A. Alito, Jr.",2024.22-7466-t01,Actual,precedent_and_doctrine,2,0.4
"Samuel A. Alito, Jr.",2024.22-7466-t01,Actual,procedural_matters,1,0.2
"Samuel A. Alito, Jr.",2024.22-7466-t01,GPT-4,argumentation_and_clarification,2,0.13333333333333333
"Samuel A. Alito, Jr.",2024.22-7466-t01,GPT-4,case_facts_and_context,5,0.3333333333333333
"Samuel A. Alito, Jr.",2024.22-7466-t01,GPT-4,judicial_role_and_review,3,0.2
"Samuel A. Alito, Jr.",2024.22-7466-t01,GPT-4,precedent_and_doctrine,3,0.2
"Samuel A. Alito, Jr.",2024.22-7466-t01,GPT-4,procedural_matters,1,0.06666666666666667
"Samuel A. Alito, Jr.",2024.22-7466-t01,GPT-4,statutory_interpretation,1,0.06666666666666667
"Samuel A. Alito, Jr.",2024.22-7466-t01,LLaMA-3.1,argumentation_and_clarification,3,0.25
"Samuel A. Alito, Jr.",2024.22-7466-t01,LLaMA-3.1,judicial_role_and_review,7,0.5833333333333334
"Samuel A. Alito, Jr.",2024.22-7466-t01,LLaMA-3.1,precedent_and_doctrine,2,0.16666666666666666
"Samuel A. Alito, Jr.",2024.23-1127-t01,Actual,argumentation_and_clarification,2,1.0
"Samuel A. Alito, Jr.",2024.23-1127-t01,GPT-4,argumentation_and_clarification,2,0.16666666666666666
"Samuel A. Alito, Jr.",2024.23-1127-t01,GPT-4,case_facts_and_context,2,0.16666666666666666
"Samuel A. Alito, Jr.",2024.23-1127-t01,GPT-4,precedent_and_doctrine,2,0.16666666666666666
"Samuel A. Alito, Jr.",2024.23-1127-t01,GPT-4,statutory_interpretation,6,0.5
"Samuel A. Alito, Jr.",2024.23-1127-t01,LLaMA-3.1,argumentation_and_clarification,4,0.3333333333333333
"Samuel A. Alito, Jr.",2024.23-1127-t01,LLaMA-3.1,judicial_role_and_review,2,0.16666666666666666
"Samuel A. Alito, Jr.",2024.23-1127-t01,LLaMA-3.1,statutory_interpretation,6,0.5
"Samuel A. Alito, Jr.",2024.23-191 -t01,Actual,argumentation_and_clarification,2,0.3333333333333333
"Samuel A. Alito, Jr.",2024.23-191 -t01,Actual,case_facts_and_context,1,0.16666666666666666
"Samuel A. Alito, Jr.",2024.23-191 -t01,Actual,judicial_role_and_review,1,0.16666666666666666
"Samuel A. Alito, Jr.",2024.23-191 -t01,Actual,statutory_interpretation,2,0.3333333333333333
"Samuel A. Alito, Jr.",2024.23-191 -t01,GPT-4,argumentation_and_clarification,5,0.35714285714285715
"Samuel A. Alito, Jr.",2024.23-191 -t01,GPT-4,constitutional_issues,1,0.07142857142857142
"Samuel A. Alito, Jr.",2024.23-191 -t01,GPT-4,judicial_role_and_review,1,0.07142857142857142
"Samuel A. Alito, Jr.",2024.23-191 -t01,GPT-4,precedent_and_doctrine,6,0.42857142857142855
